,Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,Annual_Income,Credit_Score,Loan_Purpose,Bank_Account_History,Transaction_Frequency,Loan_Approval_Status
0,15906,Female,45,Single,2,Postgraduate,Employed,Professional,Rent,20807.440610657282,849,Vehicle,8,13,1
0,15914,Female,30,Married,1,Postgraduate,Self-Employed,Business,Own,23660.645896022535,383,Personal,2,7,1
0,15918,Female,53,Single,1,Postgraduate,Employed,Freelancer,Own,23290.67874743239,448,Vehicle,4,9,0
0,15922,Male,29,Married,2,Graduate,Unemployed,Freelancer,Other,22450.720583683924,472,Education,9,25,0
0,15927,Male,55,Married,1,High School,Self-Employed,Business,Rent,23064.263306118628,665,Personal,0,6,0
0,15939,Female,35,Single,0,Postgraduate,Self-Employed,Freelancer,Own,22539.966818426787,381,Home,4,19,0
0,15943,Male,30,Married,1,High School,Employed,Freelancer,Own,20904.58125205548,483,Home,2,13,0
0,15954,Female,24,Married,1,Graduate,Self-Employed,Professional,Other,20684.78535914477,532,Home,6,13,0
0,15959,Male,31,Married,3,High School,Employed,Freelancer,Own,24777.318764911353,739,Home,2,24,1
0,15975,Female,37,Married,0,High School,Employed,Business,Own,28829.57253334071,672,Vehicle,4,9,1
0,15977,Male,38,Married,2,Graduate,Unemployed,Business,Own,24273.739151394322,740,Personal,9,28,0
0,15983,Male,42,Single,2,Graduate,Unemployed,Business,Rent,21822.5188726789,781,Personal,9,23,0
0,15985,Male,49,Married,0,Graduate,Employed,Business,Own,21977.47418189105,422,Home,7,17,0
0,15994,Male,48,Single,1,Postgraduate,Unemployed,Freelancer,Own,22346.802704144462,395,Personal,3,12,1
0,16008,Female,32,Married,1,High School,Employed,Professional,Own,20507.029345204304,849,Home,2,7,1
0,16018,Male,39,Married,0,High School,Self-Employed,Freelancer,Own,21614.161129781092,356,Personal,5,9,1
0,16029,Male,43,Divorced,2,Graduate,Employed,Freelancer,Rent,21277.960450837876,357,Vehicle,3,12,1
0,16039,Female,27,Married,1,High School,Unemployed,Professional,Own,22122.033256367056,304,Vehicle,0,9,0
0,16043,Male,34,Single,3,High School,Self-Employed,Salaried,Own,21966.782749228492,300,Education,9,9,0
0,16099,Male,37,Single,2,High School,Employed,Professional,Rent,22345.1974157683,596,Home,1,11,1
0,16114,Male,35,Married,1,High School,Employed,Freelancer,Own,21040.437631695266,519,Education,3,10,0
0,16149,Female,39,Single,3,Postgraduate,Self-Employed,Freelancer,Own,20327.0636225679,849,Education,2,9,1
0,16198,Female,33,Married,1,Graduate,Employed,Freelancer,Rent,23334.215823765182,837,Personal,1,13,1
0,16201,Male,50,Single,2,High School,Self-Employed,Salaried,Other,22244.19354681408,700,Home,4,11,1
0,16229,Female,59,Single,0,High School,Employed,Business,Own,21970.837530479515,312,Home,0,27,0
0,16240,Female,40,Single,2,Graduate,Employed,Freelancer,Rent,21440.157173841508,620,Education,3,18,0
0,16287,Female,18,Single,0,Postgraduate,Self-Employed,Salaried,Own,22209.526774800634,849,Home,0,21,1
0,16294,Female,18,Divorced,1,Graduate,Employed,Business,Own,21080.32424189756,562,Home,0,9,1
0,16341,Female,34,Divorced,1,Graduate,Employed,Business,Rent,21466.368560521394,745,Education,1,13,0
0,16500,Male,39,Single,2,Graduate,Employed,Professional,Own,21838.27792675481,818,Home,0,12,0
0,16506,Male,29,Married,2,Postgraduate,Employed,Salaried,Own,22602.000456373196,732,Education,5,11,1
0,16508,Male,22,Single,3,Graduate,Employed,Freelancer,Own,21172.76326626393,849,Personal,6,6,1
0,16511,Female,42,Married,3,High School,Employed,Business,Own,23606.20359942115,566,Home,3,8,1
0,16560,Male,38,Married,3,High School,Self-Employed,Professional,Rent,21040.437631695266,305,Education,7,27,0
0,16568,Male,51,Married,3,Graduate,Employed,Professional,Own,20691.802381464957,738,Home,6,8,1
0,16634,Female,39,Single,0,Graduate,Employed,Business,Own,21500.274932777713,303,Personal,7,24,1
0,16680,Male,34,Single,0,High School,Employed,Freelancer,Own,20433.38173831779,668,Personal,3,7,1
0,16700,Male,47,Single,0,Graduate,Employed,Freelancer,Own,21295.063459320343,490,Vehicle,4,26,0
0,16713,Male,31,Married,0,High School,Employed,Professional,Own,20734.848943514477,688,Vehicle,1,16,0
0,16724,Female,53,Single,1,High School,Self-Employed,Business,Own,21554.59614007904,794,Home,0,25,1
0,16728,Male,38,Married,0,High School,Self-Employed,Professional,Rent,21710.804415692623,722,Home,7,26,1
0,16731,Male,33,Married,1,High School,Employed,Business,Own,21611.912768285987,781,Home,3,16,1
0,16825,Male,39,Divorced,2,High School,Unemployed,Professional,Other,21671.184270362482,764,Education,5,20,1
0,16826,Male,58,Married,1,Graduate,Employed,Business,Own,21123.19122235801,712,Personal,5,15,1
0,16853,Male,38,Married,2,High School,Self-Employed,Business,Own,20497.811507752594,558,Personal,8,15,1
